epoch:0Iteration:0      	Cost:0.50514
Iteration:1      	Cost:0.49173
Iteration:2      	Cost:0.46424
Iteration:3      	Cost:0.44796
Iteration:4      	Cost:0.42766
Iteration:5      	Cost:0.39621
Iteration:6      	Cost:0.38452
Iteration:7      	Cost:0.36973
Iteration:8      	Cost:0.36365
Iteration:9      	Cost:0.40354
Iteration:10     	Cost:0.35016
Iteration:11     	Cost:0.34656
Iteration:12     	Cost:0.34890
Iteration:13     	Cost:0.31781
Iteration:14     	Cost:0.31358
Iteration:15     	Cost:0.28505
Iteration:16     	Cost:0.27300
Iteration:17     	Cost:0.35037
Iteration:18     	Cost:0.35987
Iteration:19     	Cost:0.31730
Iteration:20     	Cost:0.32429
Iteration:21     	Cost:0.37653
Iteration:22     	Cost:0.33499
Iteration:23     	Cost:0.27638
Iteration:24     	Cost:0.32497
Iteration:25     	Cost:0.25466
Iteration:26     	Cost:0.34241
Iteration:27     	Cost:0.30225
Iteration:28     	Cost:0.26022
Iteration:29     	Cost:0.26178
Iteration:30     	Cost:0.27029
Iteration:31     	Cost:0.28600
Iteration:32     	Cost:0.29524
Iteration:33     	Cost:0.32299
Iteration:34     	Cost:0.21862
Iteration:35     	Cost:0.24013
Iteration:36     	Cost:0.26617
Iteration:37     	Cost:0.27788
Iteration:38     	Cost:0.24832
Iteration:39     	Cost:0.28719
Iteration:40     	Cost:0.25989
Iteration:41     	Cost:0.25933
Iteration:42     	Cost:0.24133
Iteration:43     	Cost:0.30329
Iteration:44     	Cost:0.29835
Iteration:45     	Cost:0.27195
Iteration:46     	Cost:0.25761
Iteration:47     	Cost:0.28001
Iteration:48     	Cost:0.24385
Iteration:49     	Cost:0.23918
Iteration:50     	Cost:0.27948
Iteration:51     	Cost:0.27942
Iteration:52     	Cost:0.27518
Iteration:53     	Cost:0.26061
Iteration:54     	Cost:0.29351
Iteration:55     	Cost:0.26028
Iteration:56     	Cost:0.22232
Iteration:57     	Cost:0.25569
Iteration:58     	Cost:0.27454
Iteration:59     	Cost:0.30853
Iteration:60     	Cost:0.30071
Iteration:61     	Cost:0.32263
Iteration:62     	Cost:0.26298
Iteration:63     	Cost:0.26978
Iteration:64     	Cost:0.37037
Iteration:65     	Cost:0.28166
Iteration:66     	Cost:0.29581
Iteration:67     	Cost:0.26752
Iteration:68     	Cost:0.28162
Iteration:69     	Cost:0.27144
Iteration:70     	Cost:0.27722
Iteration:71     	Cost:0.33204
Iteration:72     	Cost:0.27697
Iteration:73     	Cost:0.24416
Iteration:74     	Cost:0.24006
Iteration:75     	Cost:0.28045
Iteration:76     	Cost:0.30195
Iteration:77     	Cost:0.24102
Iteration:78     	Cost:0.37504
Iteration:79     	Cost:0.25370
Iteration:80     	Cost:0.25329
Iteration:81     	Cost:0.22841
Iteration:82     	Cost:0.23412
Iteration:83     	Cost:0.31071
Iteration:84     	Cost:0.29842
Iteration:85     	Cost:0.27526
Iteration:86     	Cost:0.24969
Iteration:87     	Cost:0.34543
Iteration:88     	Cost:0.28434
Iteration:89     	Cost:0.29391
Iteration:90     	Cost:0.30587
Iteration:91     	Cost:0.24505
Iteration:92     	Cost:0.29338
Iteration:93     	Cost:0.27557
Iteration:94     	Cost:0.29248
Iteration:95     	Cost:0.26058
Iteration:96     	Cost:0.26395
Iteration:97     	Cost:0.27077
Iteration:98     	Cost:0.27466
Iteration:99     	Cost:0.23355
Iteration:100    	Cost:0.28192
Iteration:101    	Cost:0.24852
Iteration:102    	Cost:0.25570
Iteration:103    	Cost:0.30420
Iteration:104    	Cost:0.25561
Iteration:105    	Cost:0.37283
epoch:1Iteration:0      	Cost:0.35396
Iteration:1      	Cost:0.26744
Iteration:2      	Cost:0.24851
Iteration:3      	Cost:0.25553
Iteration:4      	Cost:0.29690
Iteration:5      	Cost:0.24107
Iteration:6      	Cost:0.23666
Iteration:7      	Cost:0.24061
Iteration:8      	Cost:0.27056
Iteration:9      	Cost:0.33786
Iteration:10     	Cost:0.27430
Iteration:11     	Cost:0.27413
Iteration:12     	Cost:0.28867
Iteration:13     	Cost:0.25567
Iteration:14     	Cost:0.25547
Iteration:15     	Cost:0.23260
Iteration:16     	Cost:0.22438
Iteration:17     	Cost:0.32314
Iteration:18     	Cost:0.33315
Iteration:19     	Cost:0.28356
Iteration:20     	Cost:0.30036
Iteration:21     	Cost:0.35973
Iteration:22     	Cost:0.31430
Iteration:23     	Cost:0.25073
