epoch:0Iteration:0      	Cost:0.27844
Iteration:1      	Cost:0.23726
Iteration:2      	Cost:0.21283
Iteration:3      	Cost:0.20490
Iteration:4      	Cost:0.20238
Iteration:5      	Cost:0.17995
Iteration:6      	Cost:0.22611
Iteration:7      	Cost:0.21457
Iteration:8      	Cost:0.19149
Iteration:9      	Cost:0.20964
Iteration:10     	Cost:0.22069
Iteration:11     	Cost:0.18428
Iteration:12     	Cost:0.21427
Iteration:13     	Cost:0.22615
Iteration:14     	Cost:0.20936
Iteration:15     	Cost:0.17590
Iteration:16     	Cost:0.20081
Iteration:17     	Cost:0.19080
Iteration:18     	Cost:0.18278
Iteration:19     	Cost:0.19886
Iteration:20     	Cost:0.21095
Iteration:21     	Cost:0.21895
Iteration:22     	Cost:0.21459
Iteration:23     	Cost:0.22062
Iteration:24     	Cost:0.16262
Iteration:25     	Cost:0.20962
Iteration:26     	Cost:0.18469
Iteration:27     	Cost:0.18567
Iteration:28     	Cost:0.21909
Iteration:29     	Cost:0.19916
Iteration:30     	Cost:0.18554
Iteration:31     	Cost:0.17509
Iteration:32     	Cost:0.17471
Iteration:33     	Cost:0.17154
Iteration:34     	Cost:0.18233
Iteration:35     	Cost:0.18608
Iteration:36     	Cost:0.20238
Iteration:37     	Cost:0.17065
Iteration:38     	Cost:0.22677
Iteration:39     	Cost:0.25268
Iteration:40     	Cost:0.15682
Iteration:41     	Cost:0.19147
Iteration:42     	Cost:0.17962
Iteration:43     	Cost:0.19646
Iteration:44     	Cost:0.17222
Iteration:45     	Cost:0.18293
Iteration:46     	Cost:0.22395
Iteration:47     	Cost:0.19709
Iteration:48     	Cost:0.17383
Iteration:49     	Cost:0.19072
Iteration:50     	Cost:0.20431
Iteration:51     	Cost:0.18000
Iteration:52     	Cost:0.23126
Iteration:53     	Cost:0.17015
Iteration:54     	Cost:0.16114
Iteration:55     	Cost:0.17076
Iteration:56     	Cost:0.18034
Iteration:57     	Cost:0.15979
Iteration:58     	Cost:0.17398
Iteration:59     	Cost:0.19782
Iteration:60     	Cost:0.12709
Iteration:61     	Cost:0.13992
Iteration:62     	Cost:0.19071
Iteration:63     	Cost:0.23361
Iteration:64     	Cost:0.18133
Iteration:65     	Cost:0.20937
Iteration:66     	Cost:0.18883
Iteration:67     	Cost:0.14801
Iteration:68     	Cost:0.23232
Iteration:69     	Cost:0.20216
Iteration:70     	Cost:0.17913
Iteration:71     	Cost:0.21972
Iteration:72     	Cost:0.22390
Iteration:73     	Cost:0.18581
Iteration:74     	Cost:0.17890
Iteration:75     	Cost:0.14733
Iteration:76     	Cost:0.18003
Iteration:77     	Cost:0.19505
Iteration:78     	Cost:0.17496
Iteration:79     	Cost:0.16435
Iteration:80     	Cost:0.16993
Iteration:81     	Cost:0.22810
Iteration:82     	Cost:0.16369
Iteration:83     	Cost:0.17537
Iteration:84     	Cost:0.15927
Iteration:85     	Cost:0.16495
Iteration:86     	Cost:0.14593
Iteration:87     	Cost:0.17061
Iteration:88     	Cost:0.18819
Iteration:89     	Cost:0.18025
Iteration:90     	Cost:0.21912
Iteration:91     	Cost:0.15863
Iteration:92     	Cost:0.22437
Iteration:93     	Cost:0.14420
Iteration:94     	Cost:0.23364
Iteration:95     	Cost:0.18369
Iteration:96     	Cost:0.17380
Iteration:97     	Cost:0.17358
Iteration:98     	Cost:0.21763
epoch:1Iteration:0      	Cost:0.18211
Iteration:1      	Cost:0.20676
Iteration:2      	Cost:0.16730
Iteration:3      	Cost:0.20038
Iteration:4      	Cost:0.19469
Iteration:5      	Cost:0.16069
Iteration:6      	Cost:0.21895
Iteration:7      	Cost:0.22163
Iteration:8      	Cost:0.19018
Iteration:9      	Cost:0.19314
Iteration:10     	Cost:0.19714
Iteration:11     	Cost:0.17362
Iteration:12     	Cost:0.20037
Iteration:13     	Cost:0.20719
Iteration:14     	Cost:0.19497
Iteration:15     	Cost:0.15448
Iteration:16     	Cost:0.18409
Iteration:17     	Cost:0.18297
Iteration:18     	Cost:0.17610
Iteration:19     	Cost:0.20486
Iteration:20     	Cost:0.19211
Iteration:21     	Cost:0.22005
Iteration:22     	Cost:0.20897
Iteration:23     	Cost:0.19852
Iteration:24     	Cost:0.14777
Iteration:25     	Cost:0.20835
Iteration:26     	Cost:0.16475
Iteration:27     	Cost:0.18176
Iteration:28     	Cost:0.21404
Iteration:29     	Cost:0.19487
Iteration:30     	Cost:0.18841
Iteration:31     	Cost:0.16023
Iteration:32     	Cost:0.17560
Iteration:33     	Cost:0.15531
Iteration:34     	Cost:0.17445
Iteration:35     	Cost:0.17709
Iteration:36     	Cost:0.19807
Iteration:37     	Cost:0.17035
Iteration:38     	Cost:0.22423
Iteration:39     	Cost:0.25332
Iteration:40     	Cost:0.14617
Iteration:41     	Cost:0.19535
Iteration:42     	Cost:0.17458
Iteration:43     	Cost:0.18685
Iteration:44     	Cost:0.15200
Iteration:45     	Cost:0.17507
Iteration:46     	Cost:0.21330
Iteration:47     	Cost:0.17962
Iteration:48     	Cost:0.15902
Iteration:49     	Cost:0.17354
Iteration:50     	Cost:0.18989
Iteration:51     	Cost:0.16648
Iteration:52     	Cost:0.22182
Iteration:53     	Cost:0.16717
Iteration:54     	Cost:0.14697
Iteration:55     	Cost:0.15977
Iteration:56     	Cost:0.17975
Iteration:57     	Cost:0.15719
Iteration:58     	Cost:0.16305
Iteration:59     	Cost:0.18926
Iteration:60     	Cost:0.11621
Iteration:61     	Cost:0.12306
Iteration:62     	Cost:0.19427
Iteration:63     	Cost:0.21517
Iteration:64     	Cost:0.16867
Iteration:65     	Cost:0.20075
Iteration:66     	Cost:0.18487
Iteration:67     	Cost:0.14621
Iteration:68     	Cost:0.22208
Iteration:69     	Cost:0.19190
Iteration:70     	Cost:0.16715
Iteration:71     	Cost:0.21334
Iteration:72     	Cost:0.21406
Iteration:73     	Cost:0.17889
Iteration:74     	Cost:0.18144
Iteration:75     	Cost:0.15124
Iteration:76     	Cost:0.17334
Iteration:77     	Cost:0.18175
Iteration:78     	Cost:0.17512
Iteration:79     	Cost:0.15350
Iteration:80     	Cost:0.17547
Iteration:81     	Cost:0.23546
Iteration:82     	Cost:0.16312
Iteration:83     	Cost:0.17368
Iteration:84     	Cost:0.16114
Iteration:85     	Cost:0.16256
Iteration:86     	Cost:0.13948
Iteration:87     	Cost:0.16493
Iteration:88     	Cost:0.18802
Iteration:89     	Cost:0.17633
Iteration:90     	Cost:0.21873
Iteration:91     	Cost:0.15745
Iteration:92     	Cost:0.22466
Iteration:93     	Cost:0.14382
Iteration:94     	Cost:0.22607
Iteration:95     	Cost:0.17195
Iteration:96     	Cost:0.16382
Iteration:97     	Cost:0.16899
Iteration:98     	Cost:0.20649
epoch:2Iteration:0      	Cost:0.18167
Iteration:1      	Cost:0.19928
Iteration:2      	Cost:0.16254
Iteration:3      	Cost:0.19724
Iteration:4      	Cost:0.18740
Iteration:5      	Cost:0.16150
Iteration:6      	Cost:0.21373
Iteration:7      	Cost:0.21713
Iteration:8      	Cost:0.18653
Iteration:9      	Cost:0.18959
Iteration:10     	Cost:0.19164
Iteration:11     	Cost:0.17579
Iteration:12     	Cost:0.18891
Iteration:13     	Cost:0.19220
Iteration:14     	Cost:0.19114
Iteration:15     	Cost:0.14040
Iteration:16     	Cost:0.16903
Iteration:17     	Cost:0.18235
Iteration:18     	Cost:0.17302
Iteration:19     	Cost:0.20693
Iteration:20     	Cost:0.18440
Iteration:21     	Cost:0.21284
Iteration:22     	Cost:0.20557
Iteration:23     	Cost:0.18454
Iteration:24     	Cost:0.14997
Iteration:25     	Cost:0.21011
Iteration:26     	Cost:0.16033
Iteration:27     	Cost:0.18085
Iteration:28     	Cost:0.22257
Iteration:29     	Cost:0.18348
Iteration:30     	Cost:0.17970
Iteration:31     	Cost:0.15353
Iteration:32     	Cost:0.16896
Iteration:33     	Cost:0.14979
Iteration:34     	Cost:0.17123
Iteration:35     	Cost:0.17293
Iteration:36     	Cost:0.19014
Iteration:37     	Cost:0.16484
Iteration:38     	Cost:0.20946
Iteration:39     	Cost:0.24485
Iteration:40     	Cost:0.15011
Iteration:41     	Cost:0.19216
Iteration:42     	Cost:0.17307
Iteration:43     	Cost:0.17585
Iteration:44     	Cost:0.14385
Iteration:45     	Cost:0.16482
Iteration:46     	Cost:0.20455
Iteration:47     	Cost:0.17120
Iteration:48     	Cost:0.14682
